Item Description,Branch,Date
CRP4,Bangalore,28-03-2025
CRPHS,Bangalore,28-03-2025
TRIGL,Bangalore,28-03-2025
ECO-D,Bangalore,28-03-2025
NAOH-D,Bangalore,28-03-2025
ACID WASH,Bangalore,28-03-2025
AMH,Bangalore,28-03-2025
TESTO,Bangalore,28-03-2025
ANTI-CCP,Bangalore,28-03-2025
CO2-L,Bangalore,28-03-2025
LIPC,Bangalore,28-03-2025
PROLACTIN CALSET,Bangalore,28-03-2025
REACTION CELL FOR COBAS PURE,Bangalore,28-03-2025
T3 CALSET,Bangalore,28-03-2025
T4 CALSET,Bangalore,28-03-2025
TROP-T,Bangalore,28-03-2025
TSH CALSET,Bangalore,28-03-2025
VIIT B12,Bangalore,28-03-2025
VIT D,Bangalore,28-03-2025
ABX PENTRA CK NAC,Bangalore,28-03-2025
ABX PENTRA GLUCOSE,Bangalore,28-03-2025
PENTRA CUVETTES,Bangalore,28-03-2025
BLOOD GROUP ARKARAY  ARKARY 1 PACK,Bangalore,28-03-2025
MULTISTIX,Bangalore,28-03-2025
YUMIZEN G PT,Bangalore,28-03-2025
YUMIZEN G APTT LIQ 2,Bangalore,28-03-2025
YUMIZEN G CTRL I & II,Bangalore,28-03-2025
prolactin -1,Bangalore,29-03-2025
Beta HCG-1 Prolactin-1,Bangalore,29-03-2025
AMH,Bangalore,29-03-2025
E2-1,Bangalore,29-03-2025
Whitediff-4 ,Bangalore,29-03-2025
Testo-1,Bangalore,29-03-2025
Trigl-2,Bangalore,29-03-2025
creaj-1,Bangalore,29-03-2025
chol-2,Bangalore,29-03-2025
ST-200 Electrolyte Reagent,Bangalore,29-03-2025
AMH kit autobio and amh for Roch,Chennai,29-03-2025
UTI chrome agar plate,Chennai,29-03-2025
blood agar plate emergency,Chennai,29-03-2025
Autobio vit b12 and vit d,Chennai,29-03-2025
Autibio consumables emergency wash buffer,Chennai,29-03-2025
Big tips  and small tips,Chennai,29-03-2025
Atellica vit B12 500 test,Chennai,29-03-2025
c311 instrument ca+ 900 test,Chennai,31-03-2025
Nipt tube 30 nos,Chennai,31-03-2025
RPC2,Delhi,01-04-2025
RPC4,Delhi,01-04-2025
ALT,Delhi,01-04-2025
TSH3-UL,Delhi,01-04-2025
ESTRADIAL (eE2),Delhi,01-04-2025
PROGESTERONE,Delhi,01-04-2025
T4,Delhi,01-04-2025
T3,Delhi,01-04-2025
CORTISOL,Delhi,01-04-2025
GLUCOSE,Delhi,01-04-2025
GGT,Delhi,01-04-2025
URIC ACID,Delhi,01-04-2025
TBIL,Delhi,01-04-2025
CALCIUM,Delhi,01-04-2025
UN_C,Delhi,01-04-2025
UN (BUN),Delhi,01-04-2025
TP,Delhi,01-04-2025
TOTAL IGE,Delhi,01-04-2025
PSA,Delhi,01-04-2025
PROLACTIN,Delhi,01-04-2025
LH,Delhi,01-04-2025
CA 125 REAGENT,Delhi,01-04-2025
Amylase,Delhi,01-04-2025
Lipase,Delhi,01-04-2025
Microalbumin,Delhi,01-04-2025
CRP,Delhi,01-04-2025
UCFP,Delhi,01-04-2025
Atellica IM Testosterone II (TSTII),Delhi,01-04-2025
CEA,Delhi,01-04-2025
SAMPLE CUPS,Delhi,01-04-2025
RF Factor(due to high overload),Hyderabad,02-04-2025
ANA ELISA  (Last month 1 kit pending),Hyderabad,02-04-2025
HSV 1&2 IgG- ELISA (Last month 1 kit pending),Hyderabad,02-04-2025
Free psa,Hyderabad,02-04-2025
7026986190 CA 125 G2 ELECSYS E2G 300 TEST  ROCHE 300 TESTS,Delhi,02-04-2025
7027249190 ESTRADIOL E801 300TEST  ROCHE 300 TESTS,Delhi,02-04-2025
7027273190 FERRITIN E801 300TEST  ROCHE 300 TESTS,Delhi,02-04-2025
7027559190 INSULIN E801 100TEST  ROCHE 100 TESTS,Delhi,02-04-2025
7027575190 LH E801 300TEST  ROCHE 300 TESTS,Delhi,02-04-2025
7251025190 HCG BETA E801 300TEST  ROCHE 300 TESTS,Delhi,02-04-2025
7976887190 FT4 E801 300TEST  ROCHE 300 TESTS,Delhi,02-04-2025
"8463107190 A1CD, COBAS C PACK GREEN  ROCHE 1 BTL X 50 ML",Delhi,02-04-2025
"8056668190 A1CX3, 500T, COBAS C PACK GREEN  ROCHE 500 TESTS",Delhi,02-04-2025
"8056722190 ALBT2, 500T, COBAS C PACK GREEN  ROCHE 500 TESTS",Delhi,02-04-2025
"8056757190 ALP2, 1100T , COBAS C PACK GREEN  ROCHE 1100 TESTS",Delhi,02-04-2025
"8056811190 AMYL2,750 TEST COBAS C PACK GREEN  ROCHE 750 TESTS",Delhi,02-04-2025
"8056951190 BILD2, 1000T, COBAS C PACK GREEN  ROCHE 1000 TESTS",Delhi,02-04-2025
"8056960190 BILT3, 1050T, COBAS C PACK GREEN  ROCHE 1050 TESTS",Delhi,02-04-2025
"8057427190 CA2, 1500T, COBAS C PACK GREEN  ROCHE 1500 TESTS",Delhi,02-04-2025
"8057443190 CHOL2, 2600T,COBAS C PACK GREEN  ROCHE 2600 TESTS",Delhi,02-04-2025
"8057532190 CREAJ2, 2500T, COBAS C PACK GREEN  ROCHE 2500 TESTS",Delhi,02-04-2025
8057591190 CRP4 500 TEST COBAS C PACK GREEN  ROCHE 500 TESTS,Delhi,02-04-2025
"8057605190 CRPHS,600TEST COBAS C PACK GREEN  ROCHE 600 TESTS",Delhi,02-04-2025
"8057796190 GGT-2,400T,COBAS C PACK GREEN  ROCHE 400 TESTS",Delhi,02-04-2025
"8057800190 GLUC3, 3300T, COBAS C PACK GREEN  ROCHE 3300 TESTS",Delhi,02-04-2025
"8057877190 HDLC4, 700T, COBAS C PACK GREEN  ROCHE 700 TESTS",Delhi,02-04-2025
"8057931190 IRON2, 700T,COBAS C PACK GREEN  ROCHE 700 TESTS",Delhi,02-04-2025
"8057958190 LDHI2,850 TEST,COBAS C PACK GREEN  ROCHE 850 TESTS",Delhi,02-04-2025
"8057982190 LIPC, 200T, COBAS C PACK GREEN  ROCHE 200 TESTS",Delhi,02-04-2025
"8058610190 PHOS2,750 TEST COBAS C PACK GREEN  ROCHE 750 TESTS",Delhi,02-04-2025
8058628190 RF-II COBAS C GREEN PACK  ROCHE 400 TESTS,Delhi,02-04-2025
"8058652190 TP2, 1050T, COBAS C PACK GREEN  ROCHE 1050 TESTS",Delhi,02-04-2025
"8058687190 TRIGL, 1000T, COBAS C PACK GREEN  ROCHE 1000 TESTS",Delhi,02-04-2025
"8058750190 UA2, 1300T, COBAS C PACK GREEN  ROCHE 1300 TESTS",Delhi,02-04-2025
"8058776190 UIBC, 100T , COBAS C PACK GREEN  ROCHE 100 TESTS",Delhi,02-04-2025
"8058806190 UREAL, 600T, COBAS C PACK GREEN  ROCHE 600 TESTS",Delhi,02-04-2025
"ALTP,800T GREEN PACK (08104719190) Cobas Pure ROCHE 800 Test",Delhi,02-04-2025
"ASTP,800T GREEN PACK (08104697190) COBAS PURE ROCHE 800 TEST",Delhi,02-04-2025
ANTI CCP ROCHE  ROCHE 100 TESTS,Delhi,02-04-2025
8791732190 TOTAL PSA ELECSYS E2G 300 V2  ROCHE 300,Delhi,02-04-2025
8819378190 AMH E801(E2G) 100 TEST  ROCHE 100 TESTS,Delhi,02-04-2025
8932387190 FSH ELECSYS E2G 300 V2  ROCHE 300,Delhi,02-04-2025
8946370190 TESTOSTERONE G2 ELECSYS E2G 300V2  ROCHE 300,Delhi,02-04-2025
9005811190 FT3 G3 ELECSYS E2G 300V2  ROCHE 300,Delhi,02-04-2025
9007733190 T3 ELECSYS E2G 300 V2  ROCHE 300,Delhi,02-04-2025
9007784190 T4 ELECSYS E2G 300 V2  ROCHE 300,Delhi,02-04-2025
Troponin Yt,Hyderabad,04-04-2025
Giemsa stain,Delhi,07-04-2025
ANA - Autobio (Po raise but not received).,Delhi,08-04-2025
HIV Autobio (Po raise but not received).,Delhi,08-04-2025
 Buffer 1 - Tosoh PO (raise but not approve).,Delhi,08-04-2025
Buffer 2 - Tosoh PO (raised but not approve).,Delhi,08-04-2025
ABX Diffitroll high.,Delhi,08-04-2025
ABX Diffitroll Low.,Delhi,08-04-2025
ABX Diffitroll Normal.,Delhi,08-04-2025
Ethanol 500 ml.,Delhi,08-04-2025
Slide holder. ,Delhi,08-04-2025
Total protein - Siemens. ,Delhi,08-04-2025
Sample Cups - Siemens.,Delhi,08-04-2025
CRP - Siemens  (recently received from Hyderabad but not correct we use crp not rcrp).,Delhi,08-04-2025
ANA - Autobio (Po raise but not received).,Bangalore,08-04-2025
HIV Autobio (Po raise but not received).,Bangalore,08-04-2025
Buffer 1 - Tosoh PO (raise but not approve).,Bangalore,08-04-2025
Buffer 2 - Tosoh PO (raised but not approve).,Bangalore,08-04-2025
ABX Diffitroll high.,Bangalore,08-04-2025
ABX Diffitroll Low.,Bangalore,08-04-2025
ABX Diffitroll Normal.,Bangalore,08-04-2025
Ethanol 500 ml.,Bangalore,08-04-2025
Slide holder. ,Bangalore,08-04-2025
Total protein - Siemens. ,Bangalore,08-04-2025
Sample Cups - Siemens.,Bangalore,08-04-2025
CRP - Siemens  (recently received from Hyderabad but not correct we use crp not rcrp).,Bangalore,08-04-2025
All client consumables Reporting Sheet & reporting cover indent and gloves need.,Delhi,09-04-2025
thermocol box and ice packs,Delhi,09-04-2025
E2 insulin ,Chennai,11-04-2025
 cholesterol ,Chennai,11-04-2025
t3 ,Chennai,11-04-2025
t4 ,Chennai,11-04-2025
vit d ,Chennai,11-04-2025
vit b12,Chennai,11-04-2025
"Buffer 1, tosoh G8",Delhi,11-04-2025
"Buffer 2 , tosoh G8",Delhi,11-04-2025
"Urine protein, Reagent & Calibrator, Roche cobas",Delhi,11-04-2025
"Anti TPO Reagent & Calibrator , Roche cobas",Delhi,11-04-2025
Whitediff Horiba yumizen H550. ,Delhi,11-04-2025
Troponin I rapid.,Delhi,11-04-2025
Tropinin T rapid,Delhi,11-04-2025
PTH Roche Calibrator,Delhi,11-04-2025
Upt Cards,Bangalore,15-04-2025
Small Carton Courier Boxes 25 pics,Delhi,15-04-2025
Small Thermocol Courier Boes 55 pics,Delhi,15-04-2025
Zip Lock Covers size 5 * 7 100 pics,Delhi,15-04-2025
Serum Viales 100 pics,Delhi,15-04-2025
Urine Container 30 ml 100 pics,Delhi,15-04-2025
Sodium Heparin 100 pics,Delhi,15-04-2025
Letter Heads 500,Bangalore,16-04-2025
Urine containers(sterile) - 6000,Bangalore,16-04-2025
Matrix PO Update,Bangalore,16-04-2025
Upt cards 50 cards,Bangalore,16-04-2025
Rubella igg 1 kit,Bangalore,16-04-2025
NIPT 10,Bangalore,16-04-2025
Dengue combo agappe - 5,Bangalore,16-04-2025
Abx Whitediff-horiba ,Delhi,16-04-2025
Tube top sample cups-siemans,Delhi,16-04-2025
PSA,Delhi,19-04-2025
PROLACTIN,Delhi,19-04-2025
LH,Delhi,19-04-2025
AFP,Delhi,19-04-2025
CA 125 REAGENT,Delhi,19-04-2025
Anti TPO,Delhi,19-04-2025
Albumin,Delhi,19-04-2025
TIBC,Delhi,19-04-2025
Amylase,Delhi,19-04-2025
Lipase,Delhi,19-04-2025
Microalbumin,Delhi,19-04-2025
CRP,Delhi,19-04-2025
UCFP,Delhi,19-04-2025
Atellica IM Testosterone II (TSTII),Delhi,19-04-2025
CEA,Delhi,19-04-2025
HCY,Delhi,19-04-2025
RCRP,Delhi,19-04-2025
HOMOCYSTEINE  PROTON 30ML,Delhi,19-04-2025
AFP - 25 TEST - ICHROMA iChroma II ICHROMA™ II 25 Test,Delhi,19-04-2025
CORTISOL - 25 TEST - ICHROMA iChroma II ICHROMA™ II 25 Test,Delhi,19-04-2025
Rubella IgG,Delhi,19-04-2025
Rubella IgM,Delhi,19-04-2025
HIV,Delhi,19-04-2025
HCV,Delhi,19-04-2025
ANA,Delhi,19-04-2025
ANTI CCP,Delhi,19-04-2025
free PSA ,Delhi,19-04-2025
PTH,Delhi,19-04-2025
